FoodID,FoodName,Alcohol,Carbohydrates,Calcium,Cholesterol,Calories,Kilojules,Fattotal,Glucose,Iron,Lactose,Magnesium,Potassium,Selenium,Sodium,Starchtotal,Sugarstotal,Water,Zinc
A15,"Bread, currant, toasted",0,53.0,35.0,13,322.24,1358.91,8.5,7,1.2,0.2,29,250,1.1,330,37.0,16.0,25.9,0.8
A151,"Bread, white, Maori, fried",0,39.72,430.0,9.48,297.01,1248.06,11.37,0.65,1.35,0.95,29,170,25,570,38.12,1.6,28.5,0.89
A153,"Bread, mixed grain & seed, sliced, prepacked, Sunflower & Barley, Burgen & Vogel's, upper North Island",0,35.21,100.0,0,238.92,1007.31,6.49,0,1.6,0.85,41,210,6.05,370,32.48,2.73,43.07,1.2
A154,"Bread, mixed grain & seed, sliced, prepacked, Soy & Linseed, Burgen & Vogel's, upper North Island",0,32.48,120.0,0,249.73,1051.9,7.56,0,1.8,0.6,55,290,4.9,410,28.73,3.75,43.41,1.3
A155,"Bread, wheat, sliced, prepacked, Wheatmeal, Nature's Fresh, Quality Bakers, upper North Island",0,41.34,95.0,0,215.63,914.18,1.79,0,1.8,0,47,200,4.37,510,38.54,2.8,41.74,1.3
A156,"Bread, mixed grain, light, sliced, prepacked, composite, lower North Island",0,45.9,110.0,0,241.62,1024.25,2.12,0,1.61,0,38.2,211,2.67,492,43.34,2.56,37.39,1.2
A157,"Bread, mixed grain, light, sliced, prepacked, composite, South Island",0,44.61,109.0,0,238.44,1010.46,2.34,0,1.59,0,37.7,208,1.11,486,42.08,2.53,38.17,1.19
A158,"Bread, mixed grain, heavy, sliced, prepacked, Mixed Grain, Burgen & Vogel's, lower North Island",0,37.39,72.6,0,203.13,860.77,2.04,0,1.47,1.38,29.4,216,1.53,363,34.73,2.66,45.2,1.08
A159,"Bread, mixed grain, heavy, sliced, prepacked, Mixed Grain, Burgen & Vogel's, South Island",0,37.08,73.0,0,211.08,893.8,2.62,0,1.48,1.38,29.6,217,1.37,365,34.42,2.66,44.92,1.09
A16,"Bread, currant, sliced, prepacked, composite, upper North Island",0,57.22,129.0,12,277.91,1179.35,1.42,8,2.5,0,32.4,324,4.57,351,38.42,18.8,27.23,1.72
